Bisaya Word,English Translation,Notes/Context
mera,myrrh,n
mirakul,persons short in height,a
miritu,"merit, praiseworthy quality",n
mirkadu,market,n
mirkulis,Wednesday,n
mirtiyulit,merthiolate,n
misay,pet cat,n
misbuy,messboy on a boat,n
misirabli,miserable,a
miseyas,Messiah,n
miskenu,"in small quantities, scarce",a
mistek,mistake,n
misyunibirs,Miss Universe,n
metal,metal,n
mitaliku,metallic,a
meting,1 meeting convened,n
mitru,1 taxi meter,n
mituluheya,mythology,n
meyur,mayor,n
mibil,1 mobile patrol,n
mida,"mode, current fashion",n
mudirnu,modern,a
midus,"procedure, system",n
mugtuk,"frowning, scowling of face",a
mulasis,molasses,n
mulenu n,small hand-cranked mill,a
multibaytamins,multi vitamin tablets,n
mumintu,moment,n
mimu,muumuu,n
munamina,doing s,a
munarkeya,monarchy,n
munastiryu,"monastery, nunnery",n
mungha,cenobite nun,n
munghi,cenobite monk,n
muntira,1 saddle,n
mira,muslim woman,n
murabya,variety of banana,n
muradu,reddish purple,a
mural,1 morale,n
muralidad,"morality, moral conduct",n
murgi,morgue,n
murpena,morphine,n
muru,"pouting, unsmiling face",a
mirus,1 Muslim,n
musika,music,n
musikal,musical film,n
musiku,music band,n
muskatil,muscatel wine,n
muskiteru,mosquito net,n
muskubadu,"raw, unrefined sugar",n
musuleyu,mausoleum,n
mutebu,motive,n
mutsatsu,"1 male servant, houseboy",n
mutsu,being temporarily rich,a
mutur,"1 engine, motor",n
mwiblis,furniture,n
naban,husband,n
nada,"nothing, naught",n
nagiknik,light and continuous rain,n
nagumnum,having a nutty flavor,a
nagutnut,miserly,a
nagwas,ankle-length petticoat,n
namuk,mosquito,n
nanak,sleep personified,n
nanay,mother,n
nanuy,"soft and sweet, melodious",a
napkin,"sanitary napkin, table napkin",n
napta,horoscope,n
naptalena,naphthalene,n
narangheta n,variety of small orange,a
narkutiku,narcotic,n
nasiyunalismu,nationalism,n
nasud,nation,n
natibidad,nativity of Jesus Christ,n
natural,"1 normal, natural",a
naturalya,menstruation,n
nawi,strip of rattan,n
nawung,1 face,n
nayintinayin,"moronic, simple-minded",a
nayitklab,night club,n
nayitletir,night letter telegram,n
nayitskul,night school,n
naylun,nylon,n
ngabil,1 lips,n
ngigngig,"be fatty, greasy",a
ngil-ad,"bad, ugly, evil",a
ngilngig,"1 gruesome, stirring revulsion",a
ngelu,yellow color,a
ngepun,1 teeth,n
ngimiks,comics section or magazine,n
ngutngut,"pulsating, throbbing pain",a
nguyunguyu,larvae of mosquitoes,n
nibera,refrigerator,n
nigra,dark-skinned,a
nigru,dark-skinned,a
negu,rattan winnowing tray,n
nigusyabul,available for marriage,a
nigusyu,business,n
nihit,1 scarce,a
nikinikinu,simple-minded,a
niktay,necktie,n
nilkatir,nail cutter,n
nirbiyus,"nervousness, easy excitability",n
nitruhenu,nitrogen,n
newang,"thin, not stout",a
neyun,"neon lamp, neon light",n
nubela,novel,n
nubena,novena,n
nubya,1 fiancee,n
nubyimbri,November,n
nubyu,1 fiance,n
nidul sup,noodle soup,n
nukliyar,nuclear,n
nikus,squid,n
nilu,null and void,n
numiru,number,n
numri,1 name,n
nurti,1 north,n
nurwegu,Norwegian,n
nisul,nozzle,n
nutaryu,notary,n
nutbuk,notebook,n
nutikal,nautical course,n
nutrisyunista,dietician,n
nuug,1 cloth,n
nyuralhiya,neuralgia,n
nyis,1 news,n
nyusbuy,newsboy,n
paagpaag,"staggering, tottering walk",a
pablik,1 public school,n
pablesir,publisher,n
pablisiti,publicity,n
pablum,"pablum, cereal for children",n
pabrika,factory,n
pabu,turkey,n
pabur,1 advantageous to,a
paburitismu,favoritism,n
paburetu,favorite,a
pad,pad of paper,n
pading,1 padding,n
padir,cemented fence,n
padlak,padlock,n
padri,title for a priest,n
padri nwistru,the Lord’s Prayer,n
padyama,pajamas,n
paganti,paid off,a
paganu,pagans,n
pagaw,hoarse,a
pagi,general term for rays,n
pagu,burnt to a crisp,a
pag-ud,"tough, strong, hardy",a
pagudpud,"crumbling, but hard",a
pagutput,1 put-put sound,n
pahugpahug,somewhat stupid,a
pahunpahun,"general appearance, actions",n
pahuy,1 scarecrow,n
paelub,patience,n
paisanu,"one’s compatriot, s",n
paka,pincers of shellfish,n
pakaw,"1 bowlegged, pigeon-toed",a
pakids,"package, esp",n
pak-il,hard and compacted,a
pakit,1 pocket in billiards,n
paketi,package,n
pakshul,foxhole,n
paksiyun,faction,n
pakwan,1 watermelon,n
pakyas,"failed, come to nothing",a
palaran,fortunate,a
pal-ak n,leafstalk and its leaf,a
palakpak,applause,n
palda,skirt,n
palikeru,philandering,a
paleta,1 brick trowel,n
palmeta,1 rod for punishment,n
palpag,disheveled,a
palsu,"1 false, incorrect",a
paltik,1 homemade firearms,n
palumar,dovecote,n
pamaul,muscle ache,n
pamilyar,familiar with s,a
pampam,prostitute,n
pamplit,pamphlet,n
pan,bread,n
panalangin,1 prayer,n
panatiku,religious fanatic,n
panatismu,religious fanaticism,n
panaw,"1 travel, journey",n
pandak,short and stout,a
pandeta,muslim preacher,n
panga,1 forked stick,n
pangaghu,sigh noisily,n
pangampis,saddle feathers of roosters,n
pang-an,"expert, experienced and practiced",a
panganduy,"great desire, craving",n
panggalatuk,the language of Pangasinan,n
panggasininsi,people from Pangasinan,n
panggus,small abrasion,n
panghaw,chimney,n
panghupaw,sigh without much noise,n
pangindahay,"wishful longing, desire",n
pangkug,"single step, stair",n
pangpang,cliff,n
panig,1 side,n
panit,1 skin,n
pansat,prawn,n
pansayan,outhouse,n
pansi,costume jewelry,n
pansil,place with rocks,n
pansir,paper punch,n
pansit,dish of míki noodles,n
pantalun,pants,n
pantasma,terrifying apparition,n
pantehan,"manta rays, esp",n
panting,"palace, castle",n
pantuplas,"pantofles, k",n
panini,= panghúni,n
panuramik,wide movie projection,n
panut,bald-headed,a
panutsa,"penuche, a k",n
panyuletu,small handkerchief,n
papal nunsiyu,Papal Nuncio,n
papan,stone slab,n
papay,child’s talk for snack,n
papil,1 paper,n
papelis,"documents, papers",n
papkurn,popcorn,n
paprika,paprika,n
papsikul,popsicle,n
parabula,parable,n
paragparag,tottering,a
paraesu,paradise,n
parakayda,parachute,n
paralesis,paralysis,n
paralitiku,paralytic,n
parapara,"frills, lace trimmings",n
parapin,paraffin,n
parapu,paragraph,n
pari,1 = kumpadri,n
pareha,"similar, identical to another",a
parilya,grill bars for broiling,n
parinhayit,Fahrenheit,n
paris,1 pair,n
pariseyu,pharisee,n
parlur,1 beauty parlor,n
parmasya,drugstore,n
parsela,parcel of land,n
partayim,"part-time work, working part-time",a
partikular,"1 peculiarity, characteristic act",n
partisiyun,"partition, room divider",n
parila,lighthouse,n
pasadur,sanitary napkin,n
pasaheru,passenger,n
pasapurti,1 passport,n
pasas,raisins,n
pasatyimpu,1 pastime,n
pasayan,shrimp,n
pasilyu,"corridor, covered passageway",n
pasinsiya,patience,n
pasipiku,Pacific Ocean,n
paskuwas,poinsettia,n
paspurt,passport,n
pastidiyu,"bothersome, annoying",a
pastiyurisadu,pasteurized milk,a
pastu,pasture,n
pastiris,1 herdsmen,n
pasul,fishing line,n
pasilit,test or exam,n
pasunding,civic or military parade,n
pasung,cockscomb,n
paswurd,password,n
pasyinti,"patient, sick person",n
pasyun syi,fashion show,n
pataw,buoy tied to s,n
pat huldir,pot holder,n
patig,1 army fatigues,n
patirn,dress pattern,n
patir nustir,the Lord’s Prayer,n
patriyita,patriot,n
patsing,1 cement binding,n
patu,general name for ducks,n
pawdir milk,powdered milk,n
pawis,shark fins,n
pawul,foul committed in sports,n
pawuntin,1 fountain,n
payasu,"clown, jester",n
payib kilum,fifth column,n
payin tri,pine tree,n
payit,1 boxing,n
payn-apul,pineapple,n
payramid,1 pyramid in gymnastics,n
payriks,"pyrex, a k",n
payting pis,1 fighting fish,n
payuk,for s,a
payung,umbrella,n
pear,acronym for P,n
pibriru,February,n
pedal,1 pedal,n
pidbak,feedback in electronic equipment,n
pedi,payday,n
pidikiyur,pedicure,n
pidirasiyun,1 labor union,n
pidpid,very near or close,a
pidru,"1 Peter, man’s name",n
pidsbuy,pageboy bob,n
piging,party with sumptuous food,n
pigiri,piggery,n
pigurin,1 a figurine,n
pihaw,"1 embarrassed, self-conscious",a
pihig,"1 slanting, not straight",a
pei,acronym for P,n
peis,acronym for P,n
piit,1 too narrow,a
pekak,peacock,n
pikdut,"cute, cuddly",a
piki,"pique, k",n
pekuls,pickles,n
pela,queue,n
pelak,1 silver,n
pilantrupu,philanthropist,n
pilapil,rice field,n
pilata,"snooty, stuck up",a
pilatu,"rowdy, naughty, mischievous",a
pilaw,vigil,n
pildir,outfielder in baseball,n
pildiras,medicinal pills,n
pilikula,motion pictures,n
pilepig,roasted young rice grains,n
pilipena,Filipino woman,n
pilipenas,Philippines,n
pilipinista,1 the Philippine Independent,n
pilipenu,1 Filipino person,n
pilis n,pinch of s,a
pilm,film for cameras,n
pels,contraceptive pills,n
piluk,1 eyelash,n
pilika,"wig, wiglet, false hair",n
pilusupeya,philosophy,n
pilusupu,1 philosopher,a
pilutari,jai alai player,n
pilyu,"naughty, mischievous",a
pimyinta,black or white pepper,n
pinatbatir,peanut butter,n
pinay,Filipina,n
pindir n,fielder in baseball,a
pindisetis,appendicitis,n
pingak,"flat-nosed, esp",a
pinggan,"dinner plate, usually china",n
pinghuy,disappointed and downhearted,a
pingk,pink-colored,a
pingpung,1 ping-pong,n
pengut,"irritated, slightly angry",a
pingwit,"1 = bingwit, v1",v
pinisilin,penicillin,n
pinitinsiya,penance,n
pinkusyun,pincushion,n
pinpal,pen pal,n
pinsing,the sport of fencing,n
pinsiyun,1 pension,n
pintal,paint,n
pintas,"ferocious, cruel and merciless",a
pintikustis,Whitsunday,n
pintil pin,felt-tip pen,n
pintira,paint,n
pinya,1 pineapple,n
pinyatu,peanut brittle,n
pepa,1 cigarette holder,n
pipenu,cucumber,n
pipsi,pepsi cola,n
pirata,pirate,n
pir dayim,per diem,n
pirdisiyun,loss or destruction,n
pirgula,pergola,n
peri,ferry,n
pirigrenu,pilgrim,n
pireku,"1 parrot, esp",n
piris wil,ferris wheel,n
pirkal,"percale, k",n
pirlas,pearl,n
pirmaninti,permanent,a
pirmesu,"permission, permit",n
pirpiktu,perfect,a
pirpimi,perfume,n
pirsunal,1 in person,a
pirtilaysir,fertilizer,n
perul,1 pay roll,n
pirya,"1 fair, carnival",n
piryud,"1 period, punctuation mark",n
piryudiku,newspaper,n
piryudista,journalist,n
pisara,blackboard,n
pesi,acronym for P,n
pesiks,physics course or class,n
piskadur,fisherman,n
piskal,"fiscal, district attorney",n
pispan,fishpond,n
pisti,1 pestilence,n
pistila,"1 pistol, revolver",n
pesun,steamroller,n
pitaka,"purse, wallet, pocketbook",n
pitibut,PT boat,n
pitikut,petticoat,n
peting,tight-fitting clothes,a
pitisyun,petition,n
pitrumaks n,pressurized kerosene lantern,a
pitsas,1 mahjong pieces,n
pitsikurnu,brass knuckles,n
pitsipitsi,1 miscellaneous sundry goods,n
pitu,seven,n
pitupitu,1 mosquito wrigglers,n
pitiru,enema tip,n
pitwurk,footwork of a boxer,n
peyas,for s,a
plag,electrical plug,n
plagpul,flagpole,n
plagsirimini,flag-raising ceremony,n
plaka,1 phonograph record,n
plamir,plumber,n
plan,custard,n
planggana,wash basin,n
plangganeta,small basin,n
planhay,sloping gradually,a
planeta,"planet, esp",n
planta,"plant, factory, powerhouse",n
plantada,"in plain, unobstructed view",a
plantasiyun,plantation,n
planu,1 plan of s,n
plas balb,flash bulb,n
plaslayit,flashlight,n
plastik,1 plastic,n
plastir,medical plaster or adhesive,n
plat,garden plot,n
plata,1 silver,n
platapurma,"1 stage, platform",n
platireya,goldsmith shop,n
plateru,"silver-, goldsmith",n
platnus,flat-nosed,a
plawir,1 female genitalia,n
plawta,flute,n
playing sisir,flying saucer,n
playis,pliers,n
playwit,flyweight boxer,n
playwud,plywood,n
pligrawun,1 playground,n
plema,phlegm,n
pleti,1 fare,n
plitnambir,vehicle plate number,n
plima,1 ornamental feathers,n
plumahi,ornamental feathers,n
plimu,1 lead,n
plurdilis,zinnia,n
plurera,flower vase,n
plurisin,fluorescent lamp,n
plurwaks,floor wax,n
plit,float in a parade,n
pliting ret,floating rate of currency,n
pliwid n,cigarette lighter fluid,a
pragata,frigate with sails,n
pragmin,frogmen,n
praktikal,"practical, simple but useful",a
prangkesa,franchise,n
prangkiseya,franchise,n
prangkeyu,postage stamp,n
pranela,flannel,n
pransiya,France,n
prawud,1 proud and arrogant,a
praybasi,privacy from view,n
prayid rayis,fried rice,n
prayid tsekin,fried chicken,n
pribilihiyu,privilege,n
pridyidir,refrigerator,n
prilansir,free-lancer,n
prelim,preliminary exam in school,n
primatiyur,premature in birth,a
primera,first,a
primeru,"1 first, firstly",n
premu,male first cousin,n
primyu,"reward, prize, or premium",n
prinatal,prenatal care,n
prinsipi,1 prince,n
prinsesa,princess,n
printing pris,printing press,n
prenu,brakes,n
prepab,pre-fabricated building,n
pris,press,n
prisidinsiya,town hall,n
prisidinsiyal,presidential,a
prisidinti,president,n
prisintabli,suitable for presentation,a
presir,freezer,n
prisirbing dyar,jar for preserves,n
prisiyun,1 blood pressure,n
priskripsiyun,doctor’s prescription,n
prisku,1 fresh,a
pristihiyu,prestige,n
presu,prisoner,n
prisyu,price,n
prubidinsiya,Divine Providence,n
prubisung,school supervisor,n
prubisyunal,temporary,a
prubitsu,= prubitsǎr,v
prublema,problem,n
pruduksiyun,"1 yield, output",n
pruduktu,"1 product, output, yield",n
prumesa,promise relating to s,n
prumitir,boxing promoter,n
pruntu,"on time, punctual",a
pruntun,fronton for jai alai,n
prunumbri,pronoun,n
prupaganda,1 propaganda,n
prupisiyun,profession,n
prupeta,prophet,n
prupursiyun,1 well-proportioned,n
prupusisiyun,"proposition, proposal",n
prupyidad,real and personal property,n
prisa,prose,n
pruspik,prospective customer or candidate,n
pruspiktus,prospectus of a school,n
pritas,fruit,n
prutiksiyun,protection,n
prutena,protein,n
prutera,fruit bowl,n
prut kik,fruit cake,n
puangud,"compassion, tender regards",n
puasa,1 fasting,n
publiku,1 public,n
publisidad,publicity,n
piding,pudding,n
pud kuluring,food coloring,n
pugdul,"trimmed, cut short",a
pughak,egg yolk,n
pughaw,for s,a
pugpug,1 = pulpug,v
pikir,game of poker,n
pukuy,= pulukuy,n
pulbera,powder case,n
pulbura,explosive powder,n
pulbus,1 powder,n
puldir,file folder,n
pulesa,"policy, written contract",n
pulitika,politics,n
pulitiku,1 politician,n
pulka,polka dance or music,n
pulpitu,pulpit,n
pulpul,1 not bright,a
pulseras,bracelet,n
pulsu,1 pulse,n
pulta,"1 door, doorway",n
pulug,1 dye,n
pulyu,polio,n
pumada,pomade,n
punda,pillow case,n
pundasiyun,"foundation, supporting material",n
pundu,1 anchor,n
pundyi,"pongee, a k",n
pungdul,blunt-ended,a
pungkul,1 lacking a limb,n
pungun,sharp object,n
pungut,"irritating, maddening",a
puni,tablecloth,n
punirarya,funeral parlor,n
puniyal,dagger,n
punsiyunaryu,high-ranking government official,n
punsiyu pilatu,Pontius Pilate,n
puntik,"spot, dot",n
puntun,pontoon,n
pinu,phonograph or radio-phono,n
punugrapu,phonograph,n
punyus,cuffs of the sleeves,n
pipa,1 stern of boats,n
piras,1 policeman’s billy,n
puray,woman’s genitalia,n
purga,purgative,n
purgaturyu,1 purgatory,n
purigit,watery bowel movements,a
pureku,packaged lard,n
piris rindyir,forest ranger,n
purk tsap,pork chops,n
pursilana,enamelware dishes,n
pursir,purser on a boat,n
pursiyintu,per cent v,n
pursyut,fighter plane,n
purtamuneda,"1 portfolio, attaché case",n
purtintisu,portending a major event,a
purtipayib,1 forty-five r,n
puruhan,probability that s,n
purul,short pants or drawers,n
pisas,"handcuffs, shackles",n
pusibilidad,possibility,n
pusibli,possibly happening,a
pusil,firearm,n
pusitebu,positive pole of batteries,n
puspuru,box of matches,n
puspuygu,match,n
pusta,"1 bet, wager",n
pustal,postal,n
pustir,poster,n
pustesu,false teeth,n
pust-ipis,post office,n
pustira,the way s,n
pisud,1 navel,n
put,bribe,n
putbul,soccer,n
puthaw,"iron, steel",n
putik,rectum,n
putru,adolescent colt,n
putugrapiku,photographer,n
putugrapu,photograph,n
putuk,"small arms, esp",n
putus,1 wrapper,n
puwak,tonsure,n
puya,"1 infant, esp",n
puyasut,"1 weak, thin",a
puygu,matches,n
puyit,1 first grade child,n
puyra,place away from home,n
pwistu,"1 place, position",n
pyadu,"caretaker of lands, estates",n
pyangguy,"tall and thin, lanky",a
pyanguk,= †pungaw,n
pyanu,piano,n
pyaninu,jelly roll,n
pye n,"measure, about a foot",a
pyir,"1 unadulterated, pure",a
rabanit,"1 in rags, tatters",a
rabis,rabies,n
rabit,rabbit,n
rabuls,breed of fighting cock,n
radiyu,1 the radio business,n
rak-an ril,rock and roll,n
ramids sil,rummage sale,n
ranggu,1 rank,n
ranwi,runway in an airport,n
rapdrap,rough draft,n
ras,"rushing, doing s",a
rasun,1 reason that s,n
rauk,money,n
rayban,sunglasses,n
rayit han,right-hand man,n
rayit huk,right hook in boxing,n
rayna,1 queen,n
rayima,rheumatism,n
riaksiyun,reaction,n
ribaha,discount,n
rebal,rival,n
ribildi,rebel,n
ribirindu,Reverend,a
ribisiyun,revision,n
ribista,magazine,n
ribeti,"edgings, trim",n
red,1 police raid,n
ridhart,suit of hearts,n
rid krus,Red Cross,n
ridyun,"region, certain large area",n
rigalu,"1 gift, present",n
rehas,window grills,n
rihiyunal,regional,n
rikadu,spices,n
rikargu,surcharge,n
rekim,requiem mass,n
rikisisiyun,requisition,n
riklamasiyun,reclamation area,n
riklamu,"complaint, utterance of dissatisfaction",n
rikrak,"1 ricrac, a k",n
riktur,rector,n
rikunsidirasiyun,reconsideration,n
rikwirdu,"souvenir, keepsake",n
rikwisasiyun,= rikisisiyun,n
rilansi,"shoddy, poor in workmanship",a
rilihiyun,religion,n
rilihiyisu,"religious, devout",a
rilikyas,religious relic,n
rilu,watch or clock,n
rilus,watch pocket,n
rema,rhyme,n
rimatadu,for s,n
rimatsi,rivet,n
rinda,reins,n
rintas,internal revenue,n
rinyun,1 kidney,n
riparasiyun,reparations,n
ripasu,rehearsal,n
ripelint,1 water repellent cloth,n
ripinadu,refined sugar,n
ripiri,referee,n
ripli,rifle,n
ripliktur,reflectors for motor vehicles,n
ripridyiretur,refrigerator,n
riprisku,refreshments,n
ripublika,republic,n
ripulyu,cabbage,n
risaytal,musical recital,n
risebu,receipt,n
risidins,1 = risidinsiya,n
risidin sirtipikit,residence certificate,n
risipi,1 recipe,n
resir,racing bicycle,n
risis,recess,n
risistinsiya,1 resistance,n
riseta,doctor’s prescription,n
rispitar,"1 respect, showing s",n
ristawran,restaurant,n
risulta as,result,a
risuriksiyun,the Resurrection of Christ,n
ritasu,1 remnants of cloth,n
ritatsir,one who retouches pictures,n
ritmu,rhythm,n
ritratu,photograph,n
ritret,religious retreat,n
ritubadu,given to talking back,a
riturn bawut,return bout in boxing,n
riyal istet,real estate,n
riyumatismu,rheumatism,n
rubi,"ruby, a precious stone",n
ribut,robot,n
rud-aylan,Rhode Island chicken,n
rigi,"groggy, dizzy",a
rilir,ruler,n
rulpad,pad of ruled paper,n
rulyista,lecturer in a cursillo,n
rimans,petting or necking,a
rumansa,"1 romance, love affair",n
rumanu,1 Roman,n
rumba,rhumba,n
runeyu,mimeographing machine,n
rup gardin,roof garden,n
riral,"rural doctor, bank",n
risa,"rose-colored, pink",n
rusaryu,rosary,n
risas,1 rose,n
rusetas,rosette design of jewelry,n
ruska,screw or small nut,n
risu,Russian,n
rita,"route, itinerary",n
saang,spider conch,n
sabad,"restless, unsteady, always moving",a
sabadista,Seventh-day Adventist,n
sabadu,1 Saturday,n
sabdyik,subject in school,n
sabid,"encumbrance, s",n
sabli,saber,n
sabun,1 soap,n
sabung,"cockfight, usually without gaffs",n
sagabal,"hindering, restricting movement, esp",a
sagadsad,shuffling,a
sagalsal,rough with small bumps,a
sagradu,sacred,a
sagum-ut,1 unsmiling,a
sak-absurbir,shock absorber,n
sakar,fitting exactly,a
sakbit,"adjacent, very near",a
sakdaw,"1, 2 = sakgaw",v
sakir,soccer,n
saklut,sack cloth,n
sakrilihiyu,sacrilege,n
sakris,sack race,n
sakristeya,sacristy,n
saksupun,saxophone,n
salag,1 nest,n
salami,salami,n
salan,varnish,n
salbabeda,lifesaver or life jacket,n
salbahis,cruel or incorrigibly ill-mannered,a
salibagyaw,1 annoyingly noisy,a
saleku,sleeveless sweater or vest,n
salin,"1 leftover, leftovers",n
salindrun,mouth organ,n
salmu,psalm,n
salug,1 floor,n
saliwal,1 pants,n
sam-ang,1 cemetery,n
samir,summer school,n
sampangkung -in-,"done poorly, shoddily",a
samihan,farm tenant,n
samuk,1 bothersome,a
samung,top shells,n
sanag,cheerful of countenance,a
sanaturyum,sanatorium,n
sanburn,sunburn,n
sandalyas,sandals,n
sandaw,for s,a
sandayung,1 roof gutter,n
sandi skul,1 Sunday school,n
sandeya,1 watermelon,n
sandirut,intimate,a
sanggut,sickle,n
sangkad,"broad, having ample width",a
sangla,leprosy,n
san-glas,sunglasses,n
sanitari inspiktur,sanitary inspector,n
san pidru,1 Feast of St,n
sanpepar,sandpaper,n
sansan,1 = sangsang2,v
sansuy,"collarless, short-sleeved shirt",n
santas,female saints,n
santisimu,the Blessed Sacrament,n
santeta,fake saint,n
sapa,1 washer,n
sapatus,1 shoes,n
saplud,slightly bitterish in taste,a
sapsing,"1 lean, scrawny",a
sapsiyitir,sharpshooter,n
saput,clothes,n
sarhintu,sergeant,n
saring,class in school,n
sarlistun,Charleston dance,n
saru,1 goblet,n
sastri,"1 seamstress, dressmaker",n
satanas,1 Satan,n
satgan,shotgun,n
satin,satin,n
sawa,1 large snake,n
sawad,the measure of corn,n
sayal,skirt,n
sayans,1 science,n
sayid layin,"1 sideline, s",n
sayid tru,throw-in in basketball,n
sayinburd,1 billboard,n
saynus,sinusitis,n
sayu,early,a
sayup,"wrong, erroneous",a
sibilyan,1 civilian,n
sibintiit,78 rpm record,n
sibit,1 safety pin,n
seda,silk cloth,n
sidlak,"sparkling, glittering",a
sid-uk,hiccup,n
sigabu,"continuous, thudding sound",n
sigarit kes,cigarette case,n
segaw,"noisy, making a disturbance",a
sigedas,"1 successive, frequent",n
siglu,century,n
signal,signal,n
sigunda,1 second gear,n
sihag,1 transparent or translucent,a
sikandir n,boxer’s second,a
sikbit,"contiguous, located next to",n
sekit,"close, with least distance",a
siklahun,scarce,a
si-klam,C-clamp,n
siklib,sick leave,n
siklista,"cyclist, bicycle rider",n
siklut,= balinsay,n
sikreta,plainclothesman,n
sikritaryu,= sikritarya,n
sikretu,1 secret,n
siksi,"sexy, stimulating erotic feelings",a
sikstu gradu,sixth grade,n
siks-uklak,aim at six o’clock—i,n
sikuluheya,1 psychology,n
sikundarya,secondary school,n
sikyuriti,security guard,n
silaba,syllable,n
silanis,celanese,n
selid,"bedroom, room",n
silindru,cylinder of an engine,n
silengan,neighbor,n
silinsiyu,"silent, quiet",a
siliri,celery,n
silstuk,1 sales talk,n
selu,cello,n
selung,1 downstairs,n
silupin,cellophane,n
siluseya,venetian blinds,n
siliwid,celluloid,n
silya,chair,n
simbu,"pubescent youngsters, esp",a
simbulu,symbol,n
simburyu,domed roof,n
similya,"1 seedling, esp",n
siminar,seminar,n
siminarista,student in a seminary,n
siminaryu,seminary,n
simintu,"1 cement, concrete",n
simpig,close to,a
sim-ung,dark and dreary,a
sen,1 galvanized sheet-iron roofing,n
sinadu,the senate,n
sinagiga,synagogue,n
sinamun,cinnamon,n
senaw,"shiny, glossy",a
sing-aling,"shing-a-ling, a k",n
sengir,"singer, crooner",n
singkaw,1 scythe,n
singkirebut,sexual intercourse,n
singsing,1 ring,n
singut,"1 perspiration, sweat",n
sini,1 movie house,n
sinelas,slippers,n
sinimaskup,cinemascope or wide-screened movie,n
siniseru,ash tray,n
sinsilyu,1 small change,n
sinseru,sincere,a
sinsiya,science,n
sinsur,censor,n
sintabus,centavo,n
sintedu,"1 meaning, implication of",n
sintimitru,centimeter,n
sintimus,one centavo,n
sintinaryu,centenary,n
sintinela,sentinel,n
sintinsiya,1 sentence in court,n
sintinyal,centennial,n
sinturiyun,centurion,n
sep,safe in games,a
sipilin,zeppelin,n
sipilis,syphilis,n
sipilya,plane for smoothing wood,n
sipilyu,toothbrush,n
sepir,zipper,n
siplin,seaplane,n
sipris,cypress tree,n
siptimbri,September,n
siptimu gradu,seventh grade,n
sipulkru,sepulcher,n
sipulteru,caretaker of a cemetery,n
sip-un,1 head cold,n
sipya,sepia in photography,n
siramiks,ceramics,n
sirapenis,seraphim,n
sirbandu,servant,n
sirimunyas,"1 ceremony, prescribed procedure",n
sirinata,an open air concert,n
sirenu,night watchman,n
seris,1 Christmas tree lights,n
sirkul,1 circle,n
sirkulasiyun,periodical circulation,n
sirkumpirinsiya,circumference,n
sirkus,circus,n
seru,1 zero,n
siruhanu,surgeon,n
seruks,1 xerox machine,n
sirul,stomach cramps,n
sirutsu,hand saw,n
siryal nambir,serial number,n
siryisa,"serious-minded, not easy-going",a
sisariyan,caesarian section,n
sista,guitar,n
sistusumyasis,schistosomiasis,n
sesu,see-saw,n
seta,letter z,n
sitihul,City Hall,n
sitlayit,man-made satellite,n
sitru,sceptre,n
se tru,"see-through cloth, k",n
seut,1 crowded,a
siwag,jutting out inconveniently,a
siwit,clitoris,n
siwitsiwit,gossip,n
seya,"chair, seat",n
sib,substitute teacher,n
subasku,1 squall,n
sibaw,head cold,n
subdibisyun,housing development,n
subeda,upgrade,n
submarenu,1 submarine,n
submasinggan,submachine gun,n
subpena,subpoena,n
subri,envelope,n
subrikama,bedspread,n
subrikargu,purser on a vessel,n
subsub,frequent,a
suburnu,1 bribe,n
sida,1 soda water,n
sigal,gambling,n
sugilagming,very short story,n
sugilambung,novel,n
sugnud,1 wood for fuel,n
sugud,sting of an insect,n
sigut,edges all around s,n
suik,"diagonal, oblique thrust",a
sulang,chin and jaw bones,n
suldadu,soldier,n
sulibag,"crooked, not straight, askew",a
sulimni,solemn ceremony or event,a
sulisitadur,prying or maliciously inquisitive,a
sulitaryu,1 solitaire card game,n
sulpa,sulfa drugs,n
sultada n,match in cockfights,a
sultana n,sultan’s wife,a
sultianan,subject of conversation,n
sultid bins,canned salted beans,n
sulteru,"single, unmarried male",n
sulug,1 current,n
suluksuluk,= kutukutu,n
sulup,"dark, lightless",a
siman,"= budbud, v3",n
sumatin,policeman,n
sumbengay,"1 parable, allegory",n
sumbreya,culvert,n
simil,sawmill,n
sina,"zone, area particularly designated",n
sunata,"musical number, usually instrumental",n
sundalu,1 soldier,n
sunggu,nosebleed,n
sunghan n,very itchy k,a
sungkad,exact in fit,a
sungpit,blowgun or s,n
sunetu,sonnet,n
sunuy,"rooster, cock",n
sipang,fat and healthy,a
supbul,softball,n
sup dringk,soft drinks,n
sipi n,peso,a
supirbisiri,supervisory position,n
supir istar,superstar of the movies,n
supiriyur,of a high quality,a
supiryira,mother superior,n
supleti,blowtorch,n
supsupun,saxophone,n
supurtir,athletic supporter,n
surbeti,ice cream,n
surpresa,"surprise, surprise gift",n
surtedus,of different sorts,a
surtpan,short pants,n
suskrisiyun,subscription,n
suskritur,subscriber,n
suspi,peso or one peso,n
suspinsu,"suspension from office, school",n
sustansiya,nutriment,n
sustintu,money for one’s sustenance,n
susut,1 stunted in growth,a
susyalayit,socialite,n
susyidad,1 society,n
siwing gam,chewing gum,n
suwits,switch,n
suyud,bee stinger,n
swapang,"oppressively opportunistic, taking advantage",a
swiltu,free to do anything,a
swing,swing music,n
sweng,swing to swing on,n
swirti,"1 luck, good fortune",n
swet,slow music,n
swetir,"sweater, sweatshirt",n
